date,open,high,low,close,volume
5/31/2013,16.161,16.325,16.054,16.062,384300168
6/3/2013,16.098,16.156,15.803,16.097,372351364
6/4/2013,16.186,16.23,15.978,16.047,292726084
6/5/2013,15.916,16.097,15.847,15.897,290589348
6/6/2013,15.91,15.964,15.502,15.659,417073832
6/7/2013,15.589,15.83,15.456,15.779,404742744
6/10/2013,15.883,16.039,15.6,15.675,450356172
6/11/2013,15.562,15.813,15.476,15.629,286384084
6/12/2013,15.696,15.759,15.411,15.435,265426672
6/13/2013,15.446,15.612,15.313,15.57,286112344
6/14/2013,15.55,15.582,15.304,15.359,272083644
6/17/2013,15.409,15.561,15.37,15.429,259441812
6/18/2013,15.413,15.532,15.365,15.42,195161792
6/19/2013,15.407,15.416,15.107,15.107,311031140
6/20/2013,14.975,15.214,14.828,14.887,357498232
6/21/2013,14.946,15,14.575,14.768,481249384
6/24/2013,14.55,14.595,14.216,14.376,480745720
6/25/2013,14.489,14.564,14.244,14.38,314339144
6/26/2013,14.425,14.457,14.131,14.217,367946292
6/27/2013,14.259,14.335,14.055,14.064,337400196
6/28/2013,13.977,14.295,13.888,14.162,578637668
7/1/2013,14.382,14.724,14.329,14.615,391172180
7/2/2013,14.641,15.058,14.624,14.946,470086316
7/3/2013,15.031,15.106,14.909,15.029,240928632
7/5/2013,15.014,15.118,14.834,14.908,274083040
7/8/2013,15.004,15.036,14.666,14.823,298313680
7/9/2013,14.771,15.125,14.656,15.084,352688952
7/10/2013,14.986,15.171,14.938,15.026,281403276
7/11/2013,15.105,15.295,15.042,15.26,326475856
7/12/2013,15.273,15.35,15.122,15.233,279641852
7/15/2013,15.179,15.409,15.171,15.266,242172420
7/16/2013,15.233,15.382,15.149,15.364,216537468
7/17/2013,15.346,15.436,15.294,15.368,199056256
7/18/2013,15.478,15.531,15.379,15.42,219043272
7/19/2013,15.468,15.499,15.155,15.177,268778860
7/22/2013,15.338,15.348,15.195,15.225,207990384
7/23/2013,15.214,15.249,14.954,14.964,369393612
7/24/2013,15.676,15.878,15.545,15.733,592055296
7/25/2013,15.739,15.764,15.565,15.661,229682544
7/26/2013,15.546,15.751,15.512,15.75,200275012
7/29/2013,15.743,16.071,15.721,15.993,248441200
7/30/2013,16.07,16.327,16.044,16.19,309422260
7/31/2013,16.25,16.334,16.051,16.162,322957404
8/1/2013,16.277,16.314,16.188,16.31,206249288
8/2/2013,16.357,16.53,16.309,16.519,274781304
8/5/2013,16.596,16.81,16.505,16.766,318854368
8/6/2013,16.715,16.853,16.506,16.616,334914160
8/7/2013,16.564,16.679,16.492,16.606,298855872
8/8/2013,16.566,16.575,16.355,16.465,255999352
8/9/2013,16.38,16.445,16.202,16.23,267620836
8/12/2013,16.316,16.738,16.308,16.691,364433160
8/13/2013,16.819,17.666,16.716,17.485,881939744
8/14/2013,17.781,18.009,17.621,17.804,756371644
8/15/2013,17.729,17.943,17.467,17.783,490294028
8/16/2013,17.863,17.962,17.816,17.94,362303424
8/19/2013,18.012,18.348,18,18.134,510517924
8/20/2013,18.204,18.235,17.886,17.895,358686972
8/21/2013,17.985,18.113,17.9,17.941,335877220
8/22/2013,18.035,18.057,17.793,17.963,244206704
8/23/2013,17.974,17.977,17.834,17.894,222728884
8/26/2013,17.884,18.221,17.875,17.963,330964200
8/27/2013,17.786,17.947,17.368,17.45,424188436
8/28/2013,17.357,17.707,17.357,17.532,307606712
8/29/2013,17.559,17.732,17.54,17.561,239654856
8/30/2013,17.571,17.605,17.375,17.401,272403152
9/3/2013,17.611,17.879,17.405,17.449,332100664
9/4/2013,17.841,17.937,17.724,17.81,345031512
9/5/2013,17.866,17.881,17.63,17.688,236367516
9/6/2013,17.801,17.835,17.498,17.794,359525012
9/9/2013,18.036,18.14,17.981,18.078,340686332
9/10/2013,18.079,18.123,17.482,17.666,743195488
9/11/2013,16.679,16.918,16.6,16.704,898693824
9/12/2013,16.732,16.979,16.643,16.882,404049884
9/13/2013,16.762,16.851,16.596,16.604,298833752
9/16/2013,16.464,16.486,15.972,16.076,548550660
9/17/2013,15.999,16.418,15.982,16.261,399379092
9/18/2013,16.542,16.655,16.452,16.596,456861216
9/19/2013,16.811,16.994,16.759,16.868,404538848
9/20/2013,17.071,17.091,16.643,16.693,699301288
9/23/2013,17.718,17.747,17.236,17.523,762106100
9/24/2013,17.674,17.695,17.422,17.468,364342972
9/25/2013,17.471,17.487,17.194,17.197,316956668
9/26/2013,17.357,17.449,17.282,17.365,237220732
9/27/2013,17.278,17.31,17.169,17.241,228038916
9/30/2013,17.045,17.202,16.943,17.027,260157632
10/1/2013,17.088,17.469,17.085,17.427,353882620
10/2/2013,17.344,17.564,17.277,17.484,289183608
10/3/2013,17.518,17.584,17.169,17.265,322754012
10/4/2013,17.281,17.307,17.093,17.251,258869520
